loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
1.12981379032135,0.9422333836555481,1.4150806665420532,0.969066321849823,0.7844664454460144,0.9587793946266174,0.0005000000237487257
1.001103401184082,0.8181372284889221,1.074888825416565,0.8733106255531311,0.6920040249824524,0.8156042695045471,0.0005000000237487257
0.9443433284759521,0.7647877931594849,0.9538815021514893,0.8482471108436584,0.6705470085144043,0.799362063407898,0.0005000000237487257
0.9117734432220459,0.7361536622047424,0.8987457156181335,0.8386520743370056,0.6652199625968933,0.7894286513328552,0.0005000000237487257
0.8883101940155029,0.7171305418014526,0.866048276424408,0.8185190558433533,0.6497787237167358,0.7636294364929199,0.0005000000237487257
0.8643843531608582,0.6980456113815308,0.8339318633079529,0.8073990345001221,0.6435410976409912,0.7539462447166443,0.0005000000237487257
0.851149320602417,0.6898368000984192,0.8226612210273743,0.7947666645050049,0.6360524296760559,0.7504295110702515,0.0005000000237487257
0.8431568741798401,0.6870374083518982,0.8188250064849854,0.786338746547699,0.6328267455101013,0.7515669465065002,0.0005000000237487257
0.8270240426063538,0.6761556267738342,0.804594874382019,0.7685898542404175,0.620401918888092,0.7413109540939331,0.0005000000237487257
0.8178521394729614,0.6723150610923767,0.7947412729263306,0.7648723721504211,0.622021496295929,0.7398341298103333,0.0005000000237487257
0.8049859404563904,0.6635624766349792,0.7832592725753784,0.7573704719543457,0.6174317002296448,0.735515832901001,0.0002500000118743628
0.8038612604141235,0.6653878688812256,0.789848804473877,0.7568397521972656,0.61985182762146,0.7380690574645996,0.0002500000118743628
0.7961170077323914,0.6606358289718628,0.7820314764976501,0.7519522905349731,0.6179907917976379,0.7339529991149902,0.0002500000118743628
0.7902504205703735,0.6577722430229187,0.7785966992378235,0.7442799806594849,0.6133365631103516,0.7261220216751099,0.0002500000118743628
0.7869227528572083,0.657470703125,0.7784179449081421,0.7421302795410156,0.6142005324363708,0.7274606227874756,0.0002500000118743628
0.7783814668655396,0.6519561409950256,0.7723293900489807,0.7374748587608337,0.6125766634941101,0.7265686392784119,0.0002500000118743628
0.7762530446052551,0.6528750658035278,0.7728501558303833,0.734439492225647,0.6125820279121399,0.7275935411453247,0.0002500000118743628
0.7718914151191711,0.6515297293663025,0.7688379883766174,0.7373688817024231,0.6185062527656555,0.7343165874481201,0.0002500000118743628
