timestamp,sat_id,sqrtA,a,e,i,RAAN,omega,M
2023-12-31 23:59:44,G01,,,,,,,
2024-01-01 00:00:00,G01,5154.024417877,26563967.700072348,0.01305347960442,0.9903294508767,-1.609681262806,0.9986756881767,0.204787216381
2024-01-01 01:59:44,G01,,,,,,,
2024-01-01 02:00:00,G01,5154.026269913,26563986.790953312,0.0130545940483,0.9903301560032,-1.609739761974,0.9986915388941,1.254732735329
2024-01-01 02:44:32,G01,,,,,,,
2024-01-01 03:29:36,G01,,,,,,,
2024-01-01 03:59:44,G01,,,,,,,
2024-01-01 04:00:00,G01,5154.024757385,26563971.19973751,0.01305434852839,0.9903333700343,-1.609797223933,0.9986253111297,2.304761443114
2024-01-01 05:59:44,G01,,,,,,,
2024-01-01 06:00:00,G01,5154.022514343,26563948.078354537,0.01305564725772,0.9903353698433,-1.609851931218,0.9986326067022,-2.928469914321
2024-01-01 07:59:44,G01,,,,,,,
2024-01-01 08:00:00,G01,5154.022443771,26563947.350895192,0.01305607380345,0.9903374486499,-1.609906802349,0.9986007779935,-1.878474574235
2024-01-01 09:14:40,G01,,,,,,,
2024-01-01 09:59:44,G01,5154.023992538,26563963.315657347,0.01305574784055,0.9903376666247,-1.609961988008,0.9985303809127,-0.8307761676763
2024-01-01 10:00:00,G01,5154.02399826,26563963.37463999,0.01305574562866,0.9903376797909,-1.60996211967,0.9985303882272,-0.8284429669463
2024-01-01 10:14:40,G01,,,,,,,
2024-01-01 11:59:44,G01,5154.024486542,26563968.40787453,0.0130561554106,0.9903387755166,-1.610019675256,0.9985657411056,0.2191511730517
2024-01-01 12:00:00,G01,,,,,,,
2024-01-01 12:29:36,G01,,,,,,,
2024-01-01 13:59:44,G01,,,,,,,
2024-01-01 14:00:00,G01,5154.027334213,26563997.761814766,0.0130576363299,0.9903396547303,-1.610077279119,0.9986105883222,1.271399167061
2024-01-01 15:59:44,G01,,,,,,,
2024-01-01 16:00:00,G01,5154.025594711,26563979.830936078,0.01305745099671,0.9903424971801,-1.610134242223,0.9985351236931,2.321435078255
2024-01-01 17:59:44,G01,,,,,,,
2024-01-01 18:00:00,G01,5154.023588181,26563959.147526152,0.01305862946901,0.9903442599964,-1.610188351174,0.9985474575554,-2.911803258762
2024-01-01 19:59:44,G01,,,,,,,
2024-01-01 20:00:00,G01,5154.023046494,26563953.56379129,0.01305923785549,0.9903454669038,-1.610242346017,0.99853024925,-1.861824269711
2024-01-01 20:14:40,G01,,,,,,,
2024-01-01 21:59:44,G01,,,,,,,
2024-01-01 22:00:00,G01,5154.024644852,26563970.039741788,0.01305895927362,0.9903443858074,-1.610297321016,0.9984581859054,-0.8117917598024
2024-01-01 22:29:36,G01,,,,,,,
2024-01-01 23:59:44,G01,,,,,,,
2024-01-02 00:00:00,G01,5154.024179459,26563965.24244802,0.01305886858609,0.9903443346053,-1.610355230628,0.9985007275632,0.2381286788782
2023-12-31 23:59:44,G02,,,,,,,
2024-01-01 00:00:00,G02,5153.90770149,26562764.59547794,0.0163060124032,0.967406934828,-1.71315936289,-1.27484844994,2.82834734016
2024-01-01 01:59:44,G02,,,,,,,
2024-01-01 02:00:00,G02,5153.90485573,26562735.261917274,0.0163074700395,0.967408501613,-1.71321666978,-1.27481166925,-2.40483736043
2024-01-01 02:44:32,G02,,,,,,,
2024-01-01 03:29:36,G02,,,,,,,
2024-01-01 03:59:44,G02,,,,,,,
2024-01-01 04:00:00,G02,5153.904039383,26562726.847168405,0.01630745991133,0.9674084547995,-1.713274019094,-1.274784491159,-1.354826387603
2024-01-01 05:59:44,G02,,,,,,,
2024-01-01 06:00:00,G02,5153.896263123,26562646.69103322,0.01630493509583,0.9674102644292,-1.713333829037,-1.274589507586,-0.3049791782126
2024-01-01 07:59:44,G02,5153.900495529,26562690.317814074,0.01630701904651,0.9674113308965,-1.7133929675,-1.274545456197,0.742686309763
2024-01-01 08:00:00,G02,5153.900497437,26562690.337481357,0.01630702055991,0.967411339674,-1.713393113792,-1.274545532269,0.7450198016137
2024-01-01 09:14:40,G02,,,,,,,
2024-01-01 09:59:44,G02,5153.900867462,26562694.151625555,0.01630717224907,0.9674143225639,-1.713450995609,-1.274536902515,1.792718449554
2024-01-01 10:00:00,G02,,,,,,,
2024-01-01 10:14:40,G02,,,,,,,
2024-01-01 11:59:44,G02,,,,,,,
2024-01-01 12:00:00,G02,5153.907464981,26562762.157586876,0.01630457153078,0.967414999895,-1.713507091202,-1.274387544431,2.844940494322
2024-01-01 12:29:36,G02,,,,,,,
2024-01-01 13:59:44,G02,,,,,,,
2024-01-01 14:00:00,G02,5153.90514183,26562738.210981708,0.01630571810529,0.9674164701277,-1.713563457436,-1.274347425365,-2.388249152392
2024-01-01 15:59:44,G02,,,,,,,
2024-01-01 16:00:00,G02,5153.90465164,26562733.158196434,0.0163057371974,0.967416079529,-1.71362063852,-1.27433206765,-1.33822772262
2024-01-01 17:59:44,G02,,,,,,,
2024-01-01 18:00:00,G02,5153.897201538,26562656.364021234,0.01630322251003,0.9674175482983,-1.713679591188,-1.274150544387,-0.2883690161613
2024-01-01 19:59:44,G02,,,,,,,
2024-01-01 20:00:00,G02,5153.901218414,26562697.769169316,0.01630518748425,0.9674175424466,-1.713738195686,-1.274104989118,0.7616269047034
2024-01-01 20:14:40,G02,,,,,,,
2024-01-01 21:59:44,G02,,,,,,,
2024-01-01 22:00:00,G02,5153.901441574,26562700.06945856,0.01630537037272,0.9674191458048,-1.71379594584,-1.274101583445,1.811663497617
2024-01-01 22:29:36,G02,,,,,,,
