timestamp,sat_id,clock_bias_a0_sec,clock_drift_a1_sec_per_sec,clock_drift_rate_a2,toc_gps_sec,group_delay_tgd_sec,clock_bias_meters,clock_drift_meters_per_sec,clock_drift_rate_meters_per_sec2,group_delay_meters,relativistic_correction_meters,total_clock_error_meters,sqrtA,eccentricity,M0
2024-01-06 06:00:00,G15,0.0001143729314208,3.865352482535e-12,0.0,532818.0,-1.024454832077e-08,34288.14223930706,0.0011588035217755697,0.0,-3.0712383221834108,54600.03377816865,88885.10477915352,5153.585830688,0.01543884363491,-1.531943579371
2024-01-06 07:59:44,G15,,,,,,,,,,,,,,
2024-01-06 08:00:00,G15,0.000114400871098,3.86535248253e-12,0.0,540006.0,-1.02445483208e-08,34296.518343810574,0.0011588035217740707,0.0,-3.071238322192405,25654.63229167276,59948.07939716114,5153.58378792,0.0154382727342,-0.481759549185
2024-01-06 08:59:44,G15,,,,,,,,,,,,,,
2024-01-06 09:59:44,G15,,,,,,,,,,,,,,
2024-01-06 10:00:00,G15,0.000114428345114,3.86535248253e-12,0.0,547206.0,-1.02445483208e-08,34304.75484659835,0.0011588035217740707,0.0,-3.071238322192405,-29786.234193466204,4515.449414809953,5153.58267212,0.0154376943829,0.568478080857
2024-01-06 11:59:44,G15,,,,,,,,,,,,,,
2024-01-06 12:00:00,G15,0.000114456284791,3.86535248253e-12,0.0,554406.0,-1.02445483208e-08,34313.13095104191,0.0011588035217740707,0.0,-3.071238322192405,-54502.283617539644,-20192.223904819926,5153.58360672,0.0154379139422,1.61869346869
2024-01-06 13:14:40,G15,,,,,,,,,,,,,,
2024-01-06 13:59:44,G15,,,,,,,,,,,,,,
2024-01-06 14:00:00,G15,0.0001144842244685,3.865352482535e-12,0.0,561618.0,-1.024454832077e-08,34321.50705563536,0.0011588035217755697,0.0,-3.0712383221834108,-24525.38801148342,9793.047805829756,5153.584949493,0.01543741719797,2.668900630538
2024-01-06 15:59:44,G15,,,,,,,,,,,,,,
2024-01-06 16:00:00,G15,0.0001145116984844,3.865352482535e-12,0.0,568818.0,-1.024454832077e-08,34329.74355839315,0.0011588035217755697,0.0,-3.0712383221834108,29431.205122877862,63757.877442948826,5153.587339401,0.01543611590751,-2.564047391849
2024-01-06 17:59:44,G15,,,,,,,,,,,,,,
2024-01-06 18:00:00,G15,0.0001145396381617,3.865352482535e-12,0.0,576018.0,-1.024454832077e-08,34338.11966292665,0.0011588035217755697,0.0,-3.0712383221834108,54558.64217976356,88893.69060436802,5153.586694717,0.0154362230096,-1.513829835969
2024-01-06 19:59:44,G15,,,,,,,,,,,,,,
2024-01-06 20:00:00,G15,0.0001145671121776,3.865352482535e-12,0.0,583218.0,-1.024454832077e-08,34346.35616568444,0.0011588035217755697,0.0,-3.0712383221834108,24760.210358665,59103.49528602726,5153.585098267,0.01543574070092,-0.4636334236445
2024-01-06 20:29:36,G15,,,,,,,,,,,,,,
2024-01-06 21:59:44,G15,,,,,,,,,,,,,,
2024-01-06 22:00:00,G15,0.0001145950518548,3.865352482535e-12,0.0,590418.0,-1.024454832077e-08,34354.73227018795,0.0011588035217755697,0.0,-3.0712383221834108,-30616.428325818593,3735.232706047176,5153.583786011,0.01543506025337,0.586605366491
2024-01-06 23:59:44,G15,,,,,,,,,,,,,,
2024-01-07 00:00:00,G15,0.0001146229915321,3.865352482535e-12,0.0,-12.0,-1.024454832077e-08,34363.10837472144,0.0011588035217755697,0.0,-3.0712383221834108,-54420.958165004755,-20060.921028605495,5153.584171295,0.01543513475917,1.636834915373
2024-01-05 23:59:44,G16,,,,,,,,,,,,,,
2024-01-06 00:00:00,G16,-0.0003899778239429,7.617018127348e-12,0.0,511218.0,-1.024454832077e-08,-116912.41040533324,0.0022835245870282137,0.0,-3.0712383221834108,21214.16415016607,-95701.31749348936,5153.718347549,0.01390882767737,-2.68984292312
2024-01-06 01:14:40,G16,,,,,,,,,,,,,,
2024-01-06 01:59:44,G16,,,,,,,,,,,,,,
2024-01-06 02:00:00,G16,-0.000389922875911,7.617018127348e-12,0.0,518418.0,-1.024454832077e-08,-116895.93739978768,0.0022835245870282137,0.0,-3.0712383221834108,49039.707884071824,-67859.30075403803,5153.714626312,0.01390984270256,-1.63981353069
2024-01-06 02:44:32,G16,,,,,,,,,,,,,,
2024-01-06 03:59:44,G16,,,,,,,,,,,,,,
